iter	RMSE
0	5720520.865
1	5557396.766
2	5400675.707
3	5249951.831
4	5105547.178
5	4965678.591
6	4831574.572
7	4701283.324
8	4575835.259
9	4455312.117
10	4338174.478
11	4225519.974
12	4116357.923
13	4011450.651
14	3909742.295
15	3797930.939
16	3690521.916
17	3598634.431
18	3499038.163
19	3412600.139
20	3329517.324
21	3249401.508
22	3172288.868
23	3084282.519
24	3012395.377
25	2931040.677
26	2863331.412
27	2786955.214
28	2724966.319
29	2664359.787
30	2597137.728
31	2541576.397
32	2488011.025
33	2419790.647
34	2369917.946
35	2315511.767
36	2257892.044
37	2213214.302
38	2162179.556
39	2120841.192
40	2081147.492
41	2041897.321
42	2005342.969
43	1961966.158
44	1928140.774
45	1895782.71
46	1864794.845
47	1834387.448
48	1805975.552
49	1758600.525
50	1731556.375
51	1706124.978
52	1682077.487
53	1644631.976
54	1622488.18
55	1583739.081
56	1550588.707
57	1530078.959
58	1511365.824
59	1493506.848
60	1476500.116
61	1459526.466
62	1431603.12
63	1406242.346
64	1391286.019
65	1365359.045
66	1343574.001
67	1331002.665
68	1306061.232
69	1294614.14
70	1275052.786
71	1253109.101
72	1230162.841
73	1220133.178
74	1211126.399
75	1194826.755
76	1180266.809
77	1171805.934
78	1164055.645
79	1149898.571
80	1143170.23
81	1136226.382
82	1129711.611
83	1116256.85
84	1093858.975
85	1077302.252
86	1066314.289
87	1061625.04
88	1056604.819
89	1037506.925
90	1023926.227
91	1007461.564
92	996049.5549
93	992349.2637
94	984835.2857
95	971099.4298
96	959218.2026
97	952523.3587
98	949289.0226
99	943991.7689
100	936105.4966
101	933404.4527
102	923523.8784
103	921393.2236
104	913028.0964
105	907041.7445
106	900302.4871
107	898218.4593
108	891937.4195
109	888290.9485
110	884374.6739
111	882912.428
112	879682.2676
113	878375.3653
114	873590.1669
115	866036.6295
116	863027.7937
117	859697.3869
118	856011.2536
119	855003.5761
120	851443.7729
121	849720.9017
122	846235.3793
123	843513.2346
124	840294.8225
125	836949.2994
