iter	Passed	Remaining
0	351	351062
1	425	212413
2	505	168022
3	598	149017
4	722	143865
5	803	133093
6	888	126094
7	969	120194
8	1048	115416
9	1123	111252
10	1210	108878
11	1276	105104
12	1372	104240
13	1440	101436
14	1505	98889
15	1575	96905
16	1650	95458
17	1709	93270
18	1784	92121
19	1858	91063
20	1920	89517
21	2001	88994
22	2104	89379
23	2184	88825
24	2235	87183
25	2301	86212
26	2375	85616
27	2449	85025
28	2513	84159
29	2589	83736
30	2668	83414
31	2738	82836
32	2804	82177
33	2881	81877
34	3005	82867
35	3083	82569
36	3166	82406
37	3268	82738
38	3378	83252
39	3476	83430
40	3569	83499
41	3655	83389
42	3729	82995
43	3823	83067
44	3924	83279
45	3996	82892
46	4069	82512
47	4136	82049
48	4209	81700
49	4272	81177
50	4348	80918
51	4421	80611
52	4501	80430
53	4618	80912
54	4681	80433
55	4746	80005
56	4808	79550
57	4950	80401
58	5046	80483
59	5135	80457
60	5206	80148
61	5275	79819
62	5353	79625
63	5432	79447
64	5510	79266
65	5591	79128
66	5662	78847
67	5732	78569
68	5805	78335
69	5912	78553
70	5980	78256
71	6057	78073
72	6140	77978
73	6211	77731
74	6292	77603
75	6361	77347
76	6425	77017
77	6491	76727
78	6571	76613
79	6652	76499
80	6731	76374
81	6814	76286
82	6916	76416
83	6991	76236
84	7078	76198
85	7166	76162
86	7254	76128
87	7332	75994
88	7402	75768
89	7476	75596
90	7555	75471
91	7629	75303
92	7706	75162
93	7777	74957
94	7850	74786
95	7925	74628
96	7994	74427
97	8067	74252
98	8144	74118
99	8213	73919
100	8293	73816
101	8359	73596
102	8429	73408
103	8517	73379
104	8594	73260
105	8670	73122
106	8750	73029
107	8821	72855
108	8885	72632
109	8972	72596
110	9047	72461
111	9111	72237
112	9177	72040
113	9248	71878
114	9314	71684
115	9393	71582
116	9467	71451
117	9553	71405
118	9630	71296
119	9709	71202
120	9794	71149
121	9877	71084
122	9961	71028
123	10031	70866
124	10098	70689
125	10173	70567
126	10250	70458
127	10325	70342
128	10402	70237
129	10478	70127
130	10546	69963
131	10630	69903
132	10723	69903
133	10794	69760
134	10862	69603
135	10933	69457
136	11008	69344
137	11084	69238
138	11156	69105
139	11224	68949
140	11289	68779
141	11371	68710
142	11443	68579
143	11530	68544
144	11606	68436
145	11672	68274
146	11741	68130
147	11826	68083
148	11924	68102
149	11995	67975
150	12072	67875
151	12175	67926
152	12256	67850
153	12326	67716
154	12412	67667
155	12463	67432
156	12537	67317
157	12606	67180
158	12692	67133
159	12771	67048
160	12851	66969
161	12922	66847
162	13110	67320
163	13256	67578
164	13332	67472
165	13398	67316
166	13468	67181
167	13540	67059
168	13626	67004
169	13703	66907
170	13780	66807
171	13850	66673
172	13925	66568
173	13997	66446
174	14077	66365
175	14176	66371
176	14282	66408
177	14356	66297
178	14424	66160
179	14531	66200
180	14634	66218
181	14703	66086
182	14777	65975
183	14929	66210
184	15005	66104
185	15075	65975
186	15157	65900
187	15238	65816
188	15310	65698
189	15379	65566
190	15468	65519
191	15548	65432
192	15624	65331
193	15699	65226
194	15797	65214
195	15883	65155
196	15960	65055
197	16036	64954
198	16114	64861
199	16199	64797
200	16270	64678
201	16353	64604
202	16436	64531
203	16507	64409
204	16585	64320
205	16667	64241
206	16745	64151
207	16814	64025
208	16887	63914
209	16992	63923
210	17074	63845
211	17161	63789
212	17265	63794
213	17353	63737
214	17434	63657
215	17508	63549
216	17574	63412
217	17649	63312
218	17737	63255
219	17833	63227
220	17916	63154
221	18021	63157
222	18094	63048
223	18169	62944
224	18255	62878
225	18335	62793
226	18499	62995
227	18576	62898
228	18655	62809
229	18766	62828
230	18858	62779
231	18949	62730
232	19037	62669
233	19115	62573
234	19184	62452
235	19258	62344
236	19343	62274
237	19435	62225
238	19508	62115
239	19575	61990
240	19687	62001
241	19767	61915
242	19868	61894
243	19961	61849
244	20047	61780
245	20128	61693
246	20196	61572
247	20267	61455
248	20334	61330
249	20411	61233
250	20501	61177
251	20588	61111
252	20662	61008
253	20736	60903
254	20806	60786
255	20881	60686
256	20973	60635
257	21055	60554
258	21121	60429
259	21201	60341
260	21273	60235
261	21343	60121
262	21436	60071
263	21514	59978
264	21591	59884
265	21667	59788
266	21750	59712
267	21834	59638
268	21914	59550
269	21996	59471
270	22065	59357
271	22148	59279
272	22256	59268
273	22325	59155
274	22392	59033
275	22468	58937
276	22556	58874
277	22632	58779
278	22707	58681
279	22779	58576
280	22846	58457
281	22912	58338
282	23004	58284
283	23085	58202
284	23151	58082
285	23220	57968
286	23291	57862
287	23369	57773
288	23443	57674
289	23532	57614
290	23605	57513
291	23676	57406
292	23752	57314
293	23847	57265
294	23939	57211
295	24008	57101
296	24078	56993
297	24155	56904
298	24231	56810
299	24302	56705
300	24377	56611
301	24454	56521
302	24526	56418
303	24611	56347
304	24704	56294
305	24815	56280
306	24900	56209
307	24991	56149
308	25072	56069
309	25143	55963
310	25237	55912
311	25313	55819
312	25389	55726
313	25474	55653
314	25548	55556
315	25645	55511
316	25729	55436
317	25800	55333
318	25870	55228
319	25941	55125
320	26029	55059
321	26117	54993
322	26199	54914
323	26275	54822
324	26343	54714
325	26445	54675
326	26614	54774
327	26688	54679
328	26762	54582
329	26866	54547
330	27025	54623
331	27157	54642
332	27224	54531
333	27312	54460
334	27382	54355
335	27448	54242
336	27517	54136
337	27586	54029
338	27670	53953
339	27756	53880
340	27837	53796
341	27986	53845
342	28067	53761
343	28150	53681
344	28227	53591
345	28301	53494
346	28371	53390
347	28466	53334
348	28557	53269
349	28636	53182
350	28713	53091
351	28834	53080
352	28922	53010
353	29011	52941
354	29083	52841
355	29153	52739
356	29228	52643
357	29304	52551
358	29370	52441
359	29460	52374
360	29530	52272
361	29598	52164
362	29709	52134
363	29803	52074
364	29874	51973
365	29946	51875
366	30039	51811
367	30111	51713
368	30194	51632
369	30287	51570
370	30385	51515
371	30460	51422
372	30533	51326
373	30605	51226
374	30672	51120
375	30791	51100
376	30879	51029
377	30954	50936
378	31027	50838
379	31105	50751
380	31183	50663
381	31280	50604
382	31362	50523
383	31436	50429
384	31525	50359
385	31605	50274
386	31711	50230
387	31805	50167
388	31879	50072
389	32059	50144
390	32158	50088
391	32237	50001
392	32309	49902
393	32377	49799
394	32470	49732
395	32565	49670
396	32660	49607
397	32778	49579
398	32861	49497
399	32995	49493
400	33112	49462
401	33204	49394
402	33405	49486
403	33479	49390
404	33567	49314
405	33680	49276
406	33761	49190
407	33840	49101
408	33939	49042
409	34019	48954
410	34103	48872
411	34198	48807
412	34272	48711
413	34346	48615
414	34422	48523
415	34499	48432
416	34571	48333
417	34660	48259
418	34755	48192
419	34843	48117
420	34947	48063
421	35025	47973
422	35097	47874
423	35170	47779
424	35251	47693
425	35332	47608
426	35416	47526
427	35501	47446
428	35574	47349
429	35648	47255
430	35732	47173
431	35836	47118
432	35929	47048
433	36026	46983
434	36110	46902
435	36201	46829
436	36266	46723
437	36387	46689
438	36542	46698
439	36625	46613
440	36742	46573
441	36819	46483
442	36926	46429
443	37000	46333
444	37073	46237
445	37147	46142
446	37248	46081
447	37341	46010
448	37417	45918
449	37487	45818
450	37586	45753
451	37657	45655
452	37735	45566
453	37818	45482
454	37902	45399
455	37979	45308
456	38048	45208
457	38121	45113
458	38191	45014
459	38267	44923
460	38341	44829
461	38415	44734
462	38487	44638
463	38567	44552
464	38667	44488
465	38770	44427
466	38840	44329
467	38943	44269
468	39028	44187
469	39115	44108
470	39186	44011
471	39264	43923
472	39334	43825
473	39411	43735
474	39485	43642
475	39576	43567
