iter	RMSE
0	2393928.365
1	2314708.778
2	2240666.328
3	2170600.209
4	2103882.284
5	2040909.756
6	1978893.705
7	1920800.072
8	1865834.602
9	1813328.05
10	1761762.448
11	1712159.464
12	1666053.643
13	1622946.956
14	1579179.942
15	1537651.325
16	1498229.888
17	1462919.943
18	1426582.442
19	1392061.12
20	1359245.386
21	1329247.734
22	1300207.446
23	1271071.3
24	1244307.43
25	1217025.484
26	1191780.525
27	1168828.636
28	1146760.409
29	1124444.907
30	1104469.762
31	1083398.659
32	1065343.41
33	1047089.911
34	1030180.708
35	1014858.92
36	999602.2204
37	984595.9982
38	970822.708
39	957639.197
40	943811.5646
41	931963.0474
42	921703.5641
43	910693.4153
44	901058.9253
45	892163.6732
46	883212.9336
47	870375.4326
48	862010.9499
49	853179.9523
50	846165.7214
51	839786.023
52	832962.4915
53	826200.1948
54	819396.6544
55	813967.1676
56	807284.7364
57	801799.4852
58	796524.3173
59	791369.6627
60	783632.6151
61	778867.216
62	773546.1789
63	768822.1803
64	764648.9024
65	759929.6304
66	755742.3877
67	751637.2964
68	744599.7774
69	741112.6628
70	734884.681
71	728342.6352
72	725101.1017
73	712414.4347
74	706492.387
75	703380.5174
76	699218.2122
77	696126.7293
78	688763.9977
79	687388.0842
80	677608.6843
81	672724.8053
82	669641.7149
83	664043.6022
84	662783.7319
85	660402.4042
86	656954.053
87	652101.736
88	648551.7086
89	645801.2513
90	644831.6967
91	641124.629
92	639904.5929
93	632682.8025
94	630993.5875
95	626969.8008
96	624455.3547
97	622212.661
98	615746.4304
99	613762.2337
100	610928.0362
101	607675.2059
102	601665.2479
103	598794.4516
104	596492.7588
105	595648.1864
106	594318.3765
107	592133.359
108	586363.4893
109	585724.7772
110	583230.636
111	579911.3268
112	575378.0846
113	573603.2702
114	572786.9577
115	571453.9115
116	568239.9696
117	567434.1668
118	565535.4266
119	563922.0905
120	562341.8907
121	561531.9365
122	559336.059
123	558395.2266
124	556935.734
125	556190.6653
126	555302.1951
127	554321.5052
128	552730.4546
129	548349.0531
130	543974.1289
131	542002.2278
132	540642.071
133	536484.8872
134	533315.3411
135	529192.5535
136	528644.5325
137	524817.1521
138	521341.6096
139	519772.643
140	516439.3912
141	513234.5744
142	512464.4588
143	511165.7989
144	508092.1939
145	506837.811
146	503840.3331
147	501083.3895
148	498324.7041
149	495487.8854
150	492961.603
151	492301.3625
152	488326.5719
153	485850.4123
154	483517.8868
155	481222.4203
156	479016.302
157	474139.3417
158	471980.5654
159	469956.2092
160	467460.045
161	465554.6221
162	463751.5634
163	462018.3988
164	460352.2886
165	458750.8523
166	457211.5579
167	452571.7944
168	451077.2523
169	449640.7848
170	448260.1928
171	446723.6535
172	442358.7823
173	441068.5974
174	439828.7317
175	438637.2811
176	436959.2416
177	435814.0246
178	434713.716
179	430604.4747
180	429535.3821
181	428508.2471
182	427521.3991
183	426517.2995
184	422663.544
185	421741.5331
186	420648.2668
187	419758.5826
188	419105.6135
189	418249.7575
190	415235.7356
191	414357.5126
192	413515.6618
193	412719.8235
194	411942.195
195	410974.9713
196	410238.3607
197	408805.3806
198	405354.4894
199	404601.9354
200	403881.4093
201	403191.345
202	402530.2729
203	401896.8369
204	401289.7375
205	400707.7723
206	400149.8133
207	396883.0192
208	396267.5009
209	395720.3911
210	395195.772
211	394202.9195
212	393697.6954
213	393213.0928
214	390481.7244
215	389771.4253
216	389102.1879
217	388544.7903
218	387971.229
219	387333.4298
220	384704.0099
221	383895.8754
222	383207.3613
223	382993.6023
224	381199.7855
225	380678.794
226	379006.9881
227	377434.1171
228	377004.5382
229	376592.565
230	376197.4301
231	375014.8006
232	374635.5792
233	372454.9664
234	371807.9016
235	371661.1229
236	371030.3546
237	368591.8943
238	365765.1534
239	363510.3509
240	362480.9682
241	361216.3706
242	359907.4946
243	357435.0083
244	355601.8451
245	354961.1486
246	353691.7309
247	352803.1708
248	352195.921
249	351728.7673
250	350551.6387
251	349390.9935
252	348304.7972
253	347589.1692
254	346942.3667
255	346383.9787
256	345879.1355
257	344739.8634
258	343960.5745
259	343159.0438
260	342649.1222
261	340507.2324
262	337439.2682
263	335949.4697
264	334566.3458
265	333706.2084
266	330922.2175
267	329719.741
268	327145.2856
269	325938.6752
270	325190.1628
271	324473.5368
272	322151.4417
273	321707.7606
274	321100.9223
275	320548.7077
276	320012.9766
277	319545.5087
278	319117.6312
279	318707.9439
280	318163.5195
281	315826.4748
282	315427.955
283	315113.9016
284	314592.007
285	313765.188
286	313381.8144
287	313002.7298
288	312524.525
289	312002.6585
290	311636.2148
291	311099.1152
292	309422.995
293	308436.7527
294	306270.225
295	303195.289
296	302824.8619
297	302008.1918
298	301318.4814
299	298475.5899
300	297847.1208
301	297478.3059
302	297125.4416
303	296787.7886
304	296402.1147
305	296078.4858
306	295768.7297
307	295302.3457
308	295005.2217
309	294584.8925
310	294172.8456
311	293911.1284
312	293428.263
313	292982.5493
314	291851.0028
315	291557.5653
316	291216.1462
317	290837.7747
318	290244.5124
319	288962.0198
320	288657.5484
321	288367.3501
322	288090.6277
323	287725.0781
324	287064.4714
325	286436.0239
326	286180.7106
327	285936.9835
328	285704.2405
329	285481.9197
330	284867.498
331	284557.9297
332	283973.1045
333	283767.4259
334	283570.8252
335	283009.4894
336	282368.3067
337	282077.1709
338	281646.6397
339	281194.6207
340	278903.8005
341	278345.0971
342	277925.3984
343	277388.885
344	274847.8174
345	274075.7026
346	273723.5572
347	273266.3681
348	272742.822
349	272488.9897
350	272105.0412
351	271777.5718
352	271605.6406
353	270898.2671
354	270570.8077
355	270408.8026
356	270114.2253
357	269688.5969
358	269318.094
359	267369.3721
360	265087.3033
361	264487.9853
362	263894.0967
363	263239.9945
364	262838.6778
365	262454.7625
366	261772.6473
367	261480.9655
368	261111.6471
369	260928.3679
370	260513.0786
371	260159.3661
372	259821.9005
373	259651.73
374	259071.7517
375	258502.1088
376	257650.5136
377	257323.6468
378	256892.8388
379	256485.8824
380	255977.7611
381	255599.7204
382	255053.0736
383	254710.8315
384	252578.1922
385	252280.8027
386	251859.8581
387	249876.3867
388	249188.2027
389	248900.3071
390	248644.2571
391	248345.7047
392	247634.0022
393	247351.2444
394	247076.3803
395	246602.2213
396	246396.0201
397	245830.7045
398	244776.9492
399	244501.7654
400	244322.2413
401	243965.373
402	243198.2316
403	242882.4765
404	242613.4588
405	242279.7169
406	242025.8918
407	241054.4544
408	240332.5185
409	239874.7784
410	239611.1727
411	239396.4487
412	239078.5743
413	238825.2013
414	238656.4278
415	237988.0428
416	237555.43
417	237309.453
418	236768.3153
419	235978.977
420	235230.8957
421	234844.2427
422	234249.0892
423	233879.8675
424	232785.2384
425	231745.8085
426	230859.8534
427	230312.7541
428	229789.1567
429	229336.2321
430	228833.9212
431	228352.8406
432	228003.0198
433	227471.4692
434	226238.2279
435	225824.1576
436	225396.0966
437	225147.2007
438	224771.2287
439	224416.2414
440	223708.2464
441	223363.8649
442	222988.4136
443	222842.0781
444	222768.2137
445	222566.8212
446	221594.6404
447	220916.9878
448	220586.2931
449	219697.3467
450	219051.0743
451	218650.3682
452	218301.9738
453	218064.7113
454	217643.312
455	216619.0104
456	216397.2996
457	216189.3836
458	215989.8676
459	215667.6661
460	215472.0206
461	214576.0759
462	213631.0381
463	212852.5802
464	212613.3251
465	212352.9102
466	212123.6692
467	211189.6922
468	210398.1933
469	209693.5331
470	209470.9645
471	209102.0868
472	208511.3329
473	207665.1442
474	207005.1018
475	206719.3738
476	206458.8212
477	205969.0128
478	205597.9055
479	205231.7197
480	204877.1926
481	204071.7579
482	203287.8009
483	203122.3376
484	202977.123
485	202916.202
486	202471.7151
487	202275.4869
488	202075.5907
489	201974.8212
490	201294.277
491	200834.2609
492	200464.2366
493	200366.8448
494	200309.1925
495	200164.2411
496	200039.4717
497	199816.4358
498	199763.7909
499	199316.8037
500	199266.8583
501	198772.4947
502	198469.827
503	198272.7596
504	198084.0099
505	197810.8073
506	197649.1823
507	197459.1138
508	196822.6633
509	196639.3652
510	196284.2511
511	195825.0019
512	195461.0362
513	194984.1379
514	194153.8722
515	193989.5384
516	193836.3287
517	193533.2567
518	193366.8567
519	193132.6761
520	192775.6861
521	192487.098
522	192309.2583
523	191714.4685
524	191404.7144
525	190947.9581
526	190295.2911
527	189735.4248
528	189095.94
529	188927.9067
530	188675.3759
531	188479.8278
532	188025.8236
533	187841.531
534	187726.0793
535	187563.7909
536	187419.9425
537	187193.1944
538	186522.1842
539	186343.9671
540	186227.2208
541	185712.4962
542	185672.3143
543	185376.3317
544	185332.5835
545	185140.1817
546	184875.5019
547	184652.5966
548	184374.2723
549	184167.4626
550	184060.7486
551	183479.1295
552	183276.7638
553	183082.5553
554	182498.1594
555	182311.4592
556	182132.2684
557	181916.057
558	181307.5444
559	181045.5622
560	180558.3496
561	180411.1015
562	180264.1207
563	179713.6161
564	179543.7468
565	179327.7464
566	179185.6989
567	179049.665
568	178545.6234
569	178277.2809
570	177967.5089
571	177720.9418
572	177627.9028
573	177339.5797
574	177169.9154
575	176913.3999
576	176669.5411
577	176268.9165
578	175732.5128
579	175379.6824
580	175144.6893
581	175062.9131
582	174931.1982
583	174521.3655
584	173999.1207
585	173740.7153
586	173607.0605
587	173493.3546
588	173419.9324
589	173210.1316
590	173067.4146
591	172688.6208
592	172310.9299
593	172127.4545
594	171925.3574
595	171430.862
596	171279.6519
597	171149.1322
598	170793.7705
599	170440.6258
600	169697.2879
601	169217.5386
602	169106.8473
603	168775.1727
604	168038.5309
605	167887.5577
606	167653.4445
607	167467.3306
608	167335.7969
609	167091.1331
610	166781.5194
611	166592.7847
612	166424.5185
613	166245.0849
614	165965.0323
615	165732.4102
616	165508.1247
617	165334.707
618	165147.8932
619	164924.0411
620	164857.8764
621	164481.0743
622	164313.8582
623	164125.1254
624	163909.43
625	163755.2574
626	163332.0261
627	163163.3122
628	162995.9887
629	162804.5439
630	162746.8282
631	162625.2896
632	162344.6375
633	162160.3356
634	161961.351
635	161751.9704
636	161458.0241
637	161310.9162
638	161120.9583
639	160985.6844
640	160915.5892
641	160776.0467
642	160488.5688
643	160254.0933
644	160074.4242
645	159877.5725
646	159778.7515
647	159663.3221
648	159429.1882
649	158861.4686
650	158464.958
651	158053.9582
652	157985.5071
653	157540.1168
654	157452.9029
655	157212.7897
656	157088.2413
657	157001.2089
658	156889.1805
659	156277.9181
660	156166.6131
661	156004.2233
662	155794.3765
663	155630.0494
664	155511.2063
665	155423.8414
666	155289.4568
667	155131.4326
668	155032.0995
669	154880.7141
670	154633.158
671	154518.8229
672	154430.7139
673	153857.8166
674	153676.154
675	153502.4609
676	153389.9126
677	153347.9375
678	153252.1091
679	153138.0772
680	152888.1364
681	152778.1293
682	152713.0864
683	152663.9715
684	152515.1334
685	152387.0111
686	152300.1598
687	151959.5517
688	151770.3955
689	151626.4349
690	151424.7872
691	151373.4369
692	151235.0176
693	151058.0088
694	150988.7092
695	150855.7461
696	150577.4184
697	150477.0444
698	150156.8719
699	149820.5961
700	149722.7046
701	149594.1849
702	149493.7043
703	149370.4026
704	149332.0595
705	149246.1498
706	149121.6597
707	148967.0201
708	148858.5977
709	148552.2208
710	148387.5911
711	148217.707
712	148151.171
713	147986.0707
714	147909.5035
715	147829.993
716	147721.9438
717	147485.1274
718	147264.5774
719	147157.7631
720	146821.22
721	146729.8116
722	146633.2683
723	146478.1006
724	146409.8743
725	146242.2025
726	145971.229
727	145915.4656
728	145769.0847
729	145676.4601
730	145502.6713
731	145357.8201
732	145301.9899
733	145139.4768
734	145004.2222
735	144672.8213
736	144557.0445
737	144338.8422
738	144154.0065
739	144002.2073
740	143904.4879
741	143809.123
742	143682.1437
743	143574.3872
744	143487.776
745	143191.8939
746	143103.5186
747	142983.8365
748	142820.2973
