iter	Passed	Remaining
0	42	42553
1	92	46075
2	126	41968
3	157	39268
4	183	36428
5	202	33573
6	224	31855
7	250	31000
8	269	29667
9	290	28735
10	314	28311
11	347	28643
12	382	29072
13	434	30595
14	470	30900
15	506	31134
16	544	31456
17	571	31203
18	609	31478
19	652	31963
20	701	32680
21	743	33070
22	777	33046
23	801	32613
24	830	32389
25	855	32042
26	875	31540
27	897	31172
28	924	30948
29	948	30658
30	972	30386
31	1011	30586
32	1047	30686
33	1077	30605
34	1099	30319
35	1127	30199
36	1154	30060
37	1187	30073
38	1212	29875
39	1236	29683
40	1256	29388
41	1278	29160
42	1312	29205
43	1342	29168
44	1364	28949
45	1392	28874
46	1417	28740
47	1441	28592
48	1460	28344
49	1478	28092
50	1497	27867
51	1517	27661
52	1534	27425
53	1554	27227
54	1572	27021
55	1593	26860
56	1612	26673
57	1636	26572
58	1662	26509
59	1691	26500
60	1736	26727
61	1759	26616
62	1790	26630
63	1818	26588
64	1852	26641
65	1871	26488
66	1890	26319
67	1911	26193
68	1928	26014
69	1946	25864
70	1964	25709
71	1984	25582
72	2016	25611
73	2037	25499
74	2055	25353
75	2078	25276
76	2097	25148
77	2116	25018
78	2136	24903
79	2155	24785
80	2176	24695
81	2196	24591
82	2219	24520
83	2248	24517
84	2275	24496
85	2300	24444
86	2324	24394
87	2346	24319
88	2375	24318
89	2398	24251
90	2426	24235
91	2446	24149
92	2470	24095
93	2494	24038
94	2514	23958
95	2539	23912
96	2563	23861
97	2583	23779
98	2607	23728
99	2623	23614
100	2646	23554
101	2668	23489
102	2689	23425
103	2708	23334
104	2724	23225
105	2744	23148
106	2764	23068
107	2780	22968
108	2799	22887
109	2816	22788
110	2836	22716
111	2851	22606
112	2875	22571
113	2892	22481
114	2910	22401
115	2929	22322
116	2950	22269
117	2971	22213
118	2988	22127
119	3006	22049
120	3024	21974
121	3044	21911
122	3067	21873
123	3087	21811
124	3108	21757
125	3126	21686
126	3143	21611
127	3165	21562
128	3185	21511
129	3206	21456
130	3223	21385
131	3239	21301
132	3255	21224
133	3274	21165
134	3292	21095
135	3308	21016
136	3325	20947
137	3339	20861
138	3356	20792
139	3374	20726
140	3395	20688
141	3410	20604
142	3424	20525
143	3439	20443
144	3458	20393
145	3472	20313
146	3493	20273
147	3512	20222
148	3534	20188
149	3564	20196
150	3585	20157
151	3607	20128
152	3631	20105
153	3652	20062
154	3675	20034
155	3693	19982
156	3708	19911
157	3725	19855
158	3740	19785
159	3757	19727
160	3769	19644
161	3787	19591
162	3800	19513
163	3816	19452
164	3833	19402
165	3853	19358
166	3870	19306
167	3887	19253
168	3904	19201
169	3920	19142
170	3934	19075
171	3950	19016
172	3969	18976
173	3985	18920
174	4006	18888
175	4024	18844
176	4052	18842
177	4075	18818
178	4103	18822
179	4125	18796
180	4148	18772
181	4177	18774
182	4205	18774
183	4234	18780
184	4262	18779
185	4281	18736
186	4301	18701
187	4318	18653
188	4339	18620
189	4357	18577
190	4375	18531
191	4395	18495
192	4410	18442
193	4428	18398
194	4444	18349
195	4462	18303
196	4478	18254
197	4496	18212
198	4514	18170
199	4532	18129
200	4551	18091
201	4576	18079
202	4594	18036
203	4610	17989
204	4629	17953
205	4646	17908
206	4662	17861
207	4680	17821
208	4698	17783
209	4717	17745
210	4735	17706
211	4756	17679
212	4865	17976
213	4930	18110
214	4974	18164
215	4994	18127
216	5011	18081
217	5028	18037
218	5044	17991
219	5062	17948
220	5081	17909
221	5097	17864
222	5115	17822
223	5131	17778
224	5146	17726
225	5164	17687
226	5182	17647
227	5196	17595
228	5213	17554
229	5229	17507
230	5246	17465
231	5265	17429
232	5287	17405
233	5304	17365
234	5321	17323
235	5341	17291
236	5360	17256
237	5382	17232
238	5407	17218
239	5426	17183
240	5444	17146
241	5459	17100
242	5474	17054
243	5490	17012
244	5506	16968
245	5522	16925
246	5536	16879
247	5554	16841
248	5571	16804
249	5589	16768
250	5605	16725
251	5620	16683
252	5636	16641
253	5652	16601
254	5666	16556
255	5682	16514
256	5695	16466
257	5714	16434
258	5727	16386
259	5742	16345
260	5760	16310
261	5776	16272
262	5790	16227
263	5809	16195
264	5828	16166
265	5847	16134
266	5866	16105
267	5889	16086
268	5915	16074
269	5938	16055
270	5971	16064
271	5997	16052
272	6019	16029
273	6051	16033
274	6071	16006
275	6093	15983
276	6115	15961
277	6136	15936
278	6153	15902
279	6173	15874
280	6187	15831
281	6209	15809
282	6232	15791
283	6250	15759
284	6267	15723
285	6284	15688
286	6304	15663
287	6323	15634
288	6340	15597
289	6355	15559
290	6372	15525
291	6392	15500
292	6415	15481
293	6436	15456
294	6454	15425
295	6475	15400
296	6492	15367
297	6509	15333
298	6527	15302
299	6547	15276
300	6565	15246
301	6582	15214
302	6606	15196
303	6626	15170
304	6641	15133
305	6660	15104
306	6679	15077
307	6697	15048
308	6715	15017
309	6731	14983
310	6749	14953
311	6768	14924
312	6790	14905
313	6808	14874
314	6826	14845
315	6844	14816
316	6862	14786
317	6879	14754
318	6896	14721
319	6915	14694
320	6931	14662
321	6948	14631
322	6968	14605
